,title,fashion_houseLabel,designerLabel,start_year,end_year
536,,Lacoste,René Lacoste,1933,
537,,Lagos State University,Lagos State Government,1983,
538,,Laura Ashley plc,Laura Ashley,1953,
539,,Liberty,Arthur Lasenby Liberty,1875,
540,,Longines,Auguste Agassiz,1832,
541,,Loro Piana,Pietro Loro Piana,1924,
542,,"Stüssy, Inc.",Shawn Stussy,1980,
543,,Tommy Hilfiger,Tommy Hilfiger,1985,
544,,Max Mara,Achille Maramotti,1951,
545,,Nautica,David Chu,1983,
546,,Marchesa,Georgina Chapman & Keren Craig,2004,
547,,Yves Saint Laurent,Yves Saint Laurent,1961,
548,,Fendi,Adele Casagrande,1925,
549,,Eley Kishimoto,Mark Eley & Wakako Kishimoto,1992,
550,,Ellen Tracy,Herbert Gallen,1949,
551,,Emanuel Ungaro,Emanuel Ungaro,1965,
552,,Emporio Armani,Giorgio Armani,1975,
553,,Erdem,Erdem Moralıoğlu,1965,
554,,Ermanno Scervino,Ermanno Daelli & Toni Scervino,1999,
555,,Falke,Franz Falke-Rohen,1895,
556,,Fila,Fila Brothers,1911,
557,,Filippa K,Filippa Knutsson,1993,
558,,Fiorucci,Elio Fiorucci,1967,
559,,Forever 21,Do Won Chang & Jin Sook Chang,1984,
560,,J Brand,Jeff Rudes & Susie Crippen,2004,
561,,Manolo Blahnik,Manolo Blahnik,1970,
562,,Max Factor,Max Factor,1909,
563,,Michael Kors Collection,Michael Kors,1981,
564,,Michael Kors Collection,Michael Kors,2002,
565,,Miss Sixty,Renati Rossi & Wichy Hassan,1991,
566,,Moncler,René Ramillon,1952,
567,,Montblanc,Claus-Johannes Voss,1908,
568,,Mulberry,Roger Saul & Joan Saul,1971,
569,,New Balance,William J. Riley,1906,
570,,Eileen Fisher,Eileen Fisher,,
571,,Elie Saab,Elie Saab,,
572,,Elie Tahari,Elie Tahari,,
573,,Elizabeth Arden,Elizabeth Arden,,
574,,Elspeth Gibson,Elspeth Gibson,,
575,,Emma Cook,Emma Cook,,
576,,Eres,Irene Leroux,,
577,,Erin Fetherston,Erin Fetherston,,
578,,Eskandar,Eskandar Nabavi,,
579,,Etienne Aigner,Etienne Aigner,,
580,,Esteban Cortazar,Esteban Cortázar,,
581,,Eugenia Kim,Eugenia Kim,,
582,,Fallon,Dana Lorenz,,
583,,Farah Angsana,Farah Angsana,,
584,,Felder Felder,Annette & Daniela Felder,,
585,,Fay,Diego Della Valle,,
586,,Felipe Oliveira Baptista,Felipe Oliveira Baptista,,
587,,Fogal,Léon Fogal,,
588,,James Coviello,James Coviello,,
589,,James Perse,James Perse,,
590,,Jamie Wolf,Jamie Wolf,,
591,,Jasmine Di Milo,Jasmine Al Fayed,,
592,,Jason Wu,Jason Wu,,
593,,Jasper Conran,Jasper Conran,,
594,,Jean Colonna,Jean Colonna,,
595,,Jeffrey Campbell,Jeffrey Campbell,,
596,,Jennifer Behr,Jennifer Behr,,
597,,Jeffrey Chow,Jeffrey Chow,,
598,,Jen Kao,Jen Kao,,
599,,Jenny Packham,Jenny Packham,,
600,,Jens Laugesen,Jens Laugesen,,
601,,Louise Goldin,Louise Goldin,,
602,,Luca Luca,Luca Orlandi,,
603,,Luella,Luella Bartley,,
604,,Luisa Beccaria,Luisa Beccaria,,
605,,Lyn Devon,Lyn Devon,,
606,,M Missoni,Ottavio & Rosita Missoni Now Angela Missoni,,
607,,Maison Michel,Auguste Michel,,
608,,Malan Breton,Malan Breton,,
609,,Malo,Giacomo & Alfredo Canessa,,
610,,Mancandy,Andres Jiminez,,
611,,Manish Arora,Manish Arora,,
612,,Mara Hoffman,Mara Hoffmann,,
613,,Margaret Howell,Margaret Howell,,
614,,Marios Schwab,Marios Schwab,,
615,,Marjan Pejoski,Marjan Djodjov Pejoski,,
616,,Mark Eisen,Mark Eisen,,
617,,Markus Lupfer,Muhammad Adnan Hameed,,
618,,Martin Grant,Martin Grant,,
619,,Martine Sitbon,Martine Sitbon,,
620,,Mary Katrantzou,Meri Katrantzou,,
621,,Massimo Alba,Massimo Alba,,
622,,Matthew Williamson,Matthew Williamson,,
623,,Maurizio Pecoraro,Maurizio Pecoraro,,
624,,Max Azria,Max Azria,,
625,,Meadham Kirchhoff,Benjamin Kirchhoff & Edward Meadham,,
626,,Michael Bastian,Michael Bastian,,
627,,Michael Michael Kors,Michael Kors,,
628,,Miriam Haskell,Miriam Haskell,,
629,,Moncler Gamme Bleu,Remo Ruffling,,
630,,Moncler Gamme Rouge,Remo Ruffling,,
631,,Moncler Grenoble,René Ramillon,,
632,,Mugler,Thierry Mugler,,
633,,Naeem Khan,Naeem Khan,,
634,,Nasir Mazhar,Nasir Mazhar,,
635,,Nanette Lepore,Nanette Lepore,,
636,,Naoki Takizawa,Naoki Takizawa,,
637,,Nathan Jenden,Nathan Jenden,,
638,,Neil Barrett,Neil Barrett,,
639,,Nicolas Andreas Taralis,Nicolas Andreas Taralis,,
640,,Nicole Farhi,Nicoel Farhi,,
641,,Nicole Miller,Nicole Miller,,
642,,Pamela Dennis,Pamela Dennis,,
643,,Pamela Love,Pamela Love,,
644,,Osklen,Oskar Metsavaht,1989,
645,,Sergio Rossi,Paul Andrew,1951,
646,,Philipp Plein,Philipp Plein,1946,
647,,Omega Watches,Rohit Bal,1848,
648,,Esther Tautz,Patrick Grant,,
649,,Stephen Jones Millinery,Noel Stewart,,
650,,Marzotto,Rajesh Pratap Singh,,
651,,LVMH,Massimo Giorgetti,,
652,,OTB Group,Mike Amiri,,
653,,The Swatch Group,Rohit Bal,,
654,,Stylemint,Mary-Kate & Ashley Olsen,,
655,,The Row,Mary-Kate & Ashley Olsen,,
656,,Miharayasuhiro,Masayuki Ino,,
657,,Msgm,Massimo Giorgetti,,
658,,Boutique,Massimo Giorgetti,,
659,,Alyx,Matthew Williamson,,
660,,Nicolas Ghesquière’S Balenciaga,Matthieu Blazy,,
661,,Donatella Versace / Atelier'S Couture Collections,Michael T. Halpern,,
662,,Lothar'S,Michael Kors,,
663,,Project Runway,Michael Kors,,
664,,Maxfield,Mike Amiri,,
665,,Family’S Then Accessories House,Miuccia Prada,,
666,,Net-a-Porter,Molly Goddard,,
667,,SSENSE,Molly Goddard,,
668,,eBay,Morgane Sezalory,,
669,,Les Composantes,Morgane Sezalory,,
670,,Le Bon Marché,Morgane Sezalory,,
671,,Anne Klein Under Donna Karan,Narciso Rodriguez,,
672,,Narciso Rodriguez (His Namesake Label),Narciso Rodriguez,,
673,,Fashion East Incubator,Nensi Dojaka,,
674,,Philip Treacy,Nicholas Kirkwood,,
675,,The Pinneal Eye,Nicola Formichetti,,
676,,Vogue Hommes Japan,Nicola Formichetti,,
677,,Thierry Mulger (Mugler),Nicola Formichetti,,
678,,Pede & Stoffer,Nicolaj & Ditte Reffstrup,,
679,,Flying A,Nicolaj & Ditte Reffstrup,,
680,,Oryx Invest,Nicolaj & Ditte Reffstrup,,
681,,Spleak Media Network Ltd.,Nicolaj & Ditte Reffstrup,,
682,,Danish Fashion Institute,Nicolaj & Ditte Reffstrup,,
683,,Copenhagen Fashion Week,Nicolaj & Ditte Reffstrup,,
684,,Sophie Bille Brahe Aps,Nicolaj & Ditte Reffstrup,,
685,,Agnès b.,Nicolas Ghesquière,,
686,,Pôles,Nicolas Ghesquière,,
687,,Philip Sommerville,Noel Stewart,,
688,,Christys’ Hats,Noel Stewart,,
689,,Ryan Lo,Noel Stewart,,
690,,Theysken’S Theory,Olivier Theyskens,,
691,,Olivier Theyskens,Olivier Theyskens,,
692,,Om.Art,Oskar Metsavaht,,
693,,Instituto Educadigital,Oskar Metsavaht,,
694,,Sally Mee,Patricia Viera,,
695,,"Mauro Taubman, 'Company'",Patricia Viera,,
696,,Patricia Viera'S Namesake Brand,Patricia Viera,,
697,,Norton & Sons,Patrick Grant,,
698,,Community Clothing,Patrick Grant,,
699,,Paul Andrew,Paul Andrew,,
700,,Clothing Warehouse,Paul Smith,,
701,,Vogue Talents Contest,Paula Cademartori,,
702,,Paula Cademartori (Self-Employed),Paula Cademartori,,
703,,Renzo Rosso (Strategic Partnership),Paula Cademartori,,
704,,Architectural Digest,Peter Copping,,
705,,Peter Pilotto,Peter Pilotto & Christopher De Vos,,
706,,The Neptunes,Pharrell Williams,,
707,,N.E.R.D.,Pharrell Williams,,
708,,Ice Cream,Pharrell Williams,,
709,,Moët & Chandon,Philipp Plein,,
710,,Surf Wear Company,Phillip Lim,,
711,,3.1 Phillip Lim,Phillip Lim,,
712,,Council of Fashion Designers of America,Phillip Lim,,
713,,Phoebe Philo Label,Phoebe Philo,,
714,,Professional Dance Company,Pierre Hardy,,
715,,shoe designer,Pierre Hardy,,
716,,Pierre Hardy (His Own Brand),Pierre Hardy,,
717,,Maison Azzedine Alaïa,Pieter Mulier,,
718,,Onward Kashiyama'S Icb Brand,Prabal Gurung,,
719,,Target,Prabal Gurung,,
720,,Rent The Runway,Rahul Mishra,,
721,,Rajesh Pratap Singh (Label),Rajesh Pratap Singh,,
722,,Beau Brummell,Ralph Lauren,,
723,,Fashion Houses In Dubai,Rami Al-Ali,,
724,,Rami Al Ali (His Own Label),Rami Al-Ali,,
725,,Esmod Fashion Institute In Dubai,Rami Al-Ali,,
726,,Dubai Design & Fashion Council,Rami Al-Ali,,
727,,Quinn,Richard Quinn,,
728,,Charles Gallay,Rick Owens,,
729,,Eo Bocci Associati,Rick Owens,,
730,,Major Italian Hosiery Factories,Roberto Cavalli,,
731,,Rohit Bal'S Brother’S Export Company,Rohit Bal,,
732,,Hidesign,Rohit Bal,,
733,,Oriflame,Rohit Bal,,
734,,Mitsubishi Outlander,Rohit Bal,,
735,,Windproof Zippo Lighter,Rohit Bal,,
736,,Rokh,Rok Hwang,,
737,,Bryan Reyes,Rosie Assoulin,,
738,,Lanvin'S Design Studio In Paris,Rosie Assoulin,,
739,,Assoulin Label,Rosie Assoulin,,
740,,Ngo Access Development Services,Ruchika Sachdeva,,
741,,Sabyasachi Mukherjee (Self),Sabyasachi Mukherjee,,
742,,Payless Shoe Source,Salehe Bembury,,
743,,A-Cold-Wall,Samuel Ross,,
744,,University of Applied Arts Vienna,Kenneth Ize,1867,
745,,Proenza Schouler,Jack Mccollough & Lazaro Hernandez,2002,
746,,Rodarte,Kate Mulleavy & Laura Mulleavy,2005,
747,,Pyer Moss,Kerby Jean-Raymond,2013,
748,,Reebok,Kerby Jean-Raymond,1895,
749,,Gianfranco Ferré,Julie De Libran,,
750,,LVMH,Marc Jacobs,,
751,,Luella Bartley Ltd.,Katie Hillier,,
752,,Luella Bartley Ltd.,Katie Hillier & Luella Bartley,,
753,,Dior Men,Kim Jones,,
754,,Burton Snowboards,Hiroki Nakamura,,
755,,Visvim,Hiroki Nakamura,,
756,,F.I.L. Indigo Camping Trailer,Hiroki Nakamura,,
757,,Wmv,Hiroki Nakamura,,
758,,Dior Haute Couture Atelier,Huishan Zhang,,
759,,Huishan Zhang Brand,Huishan Zhang,,
760,,Timothy Everest,Hussein Chalayan,,
761,,Cartesia Ltd.,Hussein Chalayan,,
762,,Tse New York,Hussein Chalayan,,
763,,Claudy Jongstra,Iris Van Herpen,,
764,,Iris Van Herpen Label,Iris Van Herpen,,
765,,Christopher Lemaire,Isabel Marant,,
766,,Castanea Partners,Jack Mccollough & Lazaro Hernandez,,
767,,Integrity toys,Jason Wu,,
768,,Donna Karen,Jenna Lyons,,
769,,La Dodgers,Jerry Lorenzo,,
770,,Sports Agency In Chicago,Jerry Lorenzo,,
771,,Self-Funded Clothing Line,Jerry Lorenzo,,
772,,Fear Of God,Jerry Lorenzo,,
773,,Petra,Jil Sander,,
774,,Jil Sander Label,Jil Sander,,
775,,Studio Theatre,Jonathan Anderson,,
776,,Jw Anderson,Jonathan Anderson,,
777,,Versace'S Diffusion Line Versus,Jonathan Anderson,,
778,,Christian Lacroix At Pucci,Jonathan Saunders,,
779,,Phoebe Philo At Chloé,Jonathan Saunders,,
780,,Pollini,Jonathan Saunders,,
781,,Jonathan Saunders Line,Jonathan Saunders,,
782,,The Rug Company,Jonathan Saunders,,
783,,Self-Titled Label,Josep Font,,
784,,Nicolas Caito,Joseph Altuzarra,,
785,,Joseph Altuzzara Label,Joseph Altuzarra,,
786,,Leaders 1345,Joseph Robinson,,
787,,Fat Tiger Workshop,Joseph Robinson,,
788,,Joe Freshgoods Inc.,Joseph Robinson,,
789,,Sonia Rykiel,Julie De Libran,,
790,,Atto,Julien Dossena,,
791,,Undercover,Jun Takahashi,,
792,,Chiffon,Jung Wook-Jun,,
793,,Lone Costume,Jung Wook-Jun,,
794,,Samsung’S Cheil Industries,Jung Wook-Jun,,
795,,Junya Watanabe Label (Under Comme Des Garçons Umbrella),Junya Watanabe,,
796,,Sss World Corp,Justin O'Shea,,
797,,Mytheresa,Justin O'Shea,,
798,,Al Ostoura,Justin O'Shea,,
799,,Tiziano,Karl Lagerfeld,,
800,,Curiel,Karl Lagerfeld,,
801,,Marc By Marc Jacobs,Katie Hillier,,
802,,Katie Hillier Studio,Katie Hillier,,
803,,Hillier London,Katie Hillier,,
804,,Kenneth Ize Label,Kenneth Ize,,
805,,Kiko Kostadinov Label,Kiko Kostadinov,,
806,,Mackintosh 0001,Kiko Kostadinov,,
807,,Kim Jones Label,Kim Jones,,
808,,Kris Van Assche Menswear Label,Kris Van Assche,,
809,,Sportsgirl,Kym Ellery,,
810,,LaQuan Smith,Laquan Smith,,
811,,Maxhosa Africa,Laduma Ngxokolo,,
812,,Pratt & Whitney,Laura Kim & Fernando Garcia,,
813,,Vfiles,Lisi Herrebrugh & Rushemy Botter,,
814,,Simone Rocha,Liushu Lei & Yutong Jiang,,
815,,Shushu/Tong,Liushu Lei & Yutong Jiang,,
816,,Bazaar Men China,Lu Yan,,
817,,Oamc,Luke & Lucie Meier,,
818,,Biba Apparels,Manish Arora,,
819,,Manish Arora Fish Fry,Manish Arora,,
820,,The Manish Malhotra Show,Manish Malhotra,,
821,,Zapata,Manolo Blahnik,,
822,,Self-Employed Shoe Designer,Manolo Blahnik,,
823,,Future Care Group,Manolo Blahnik,,
824,,Magazzini Generali,Marcelo Burlon,,
825,,Marcelo Burlon: Country Of Milan,Marcelo Burlon,,
826,,Pr & Event Agency,Marcelo Burlon,,
827,,SuperNova Early Warning System,Marco De Vincenzo,,
828,,Les Petits Joueurs,Maria Sole Cecchi,,
829,,Sarah Burton,Marine Serre,,
830,,Matthieu Blazy,Marine Serre,,
831,,Vivenne Westwood,Marta Marques & Paulo Almeida,,
832,,PREenergo,Marta Marques & Paulo Almeida,,
833,,Marques'Almeida,Marta Marques & Paulo Almeida,,
834,,Lmnop,Martine Rose,,
835,,Martine Rose Label,Martine Rose,,
836,,British Fashion Council’S Newgen Men Awards,Martine Rose,,
837,,Sophia Kokosalaki,Meri Katrantzou,,
838,,Victoria's Secret,Meri Katrantzou,,
839,,New York City Ballet,Meri Katrantzou,,
840,,Walmart,Mary-Kate & Ashley Olsen,,
841,,Mary-Kate and Ashley,Mary-Kate & Ashley Olsen,,
842,,Elizabeth & James,Mary-Kate & Ashley Olsen,,
843,,Olsenboye,Mary-Kate & Ashley Olsen,,
844,,Geoffrey Beene,Geoffrey Beene,,
845,,Giambattista Valli,Giambattista Valli,,
846,,Giuseppe Zanotti,Giuseppe Zanotti,,
847,,Sacai,Chitose Abe,,
848,,Sacai Luck,Chitose Abe,,
849,,Valentin Yudashkin,Valentin Yudashkin,,
850,,Vanessa Bruno,Vanessa Bruno,,
851,,Vera Wang Lavender Label,Vera Wang,,
852,,Veronique Branquinho,Veronique Branquinho,,
853,,Verrier,Ashleigh Verrier,,
854,,Victor Alfaro,Victor Alfaro,,
855,,Victoria Beckham,Victoria Beckham,,
856,,Vince,Christopher Lapolice & Rea Laccone,,
857,,Vivienne Tam,Vivienne Tam,,
858,,Vivienne Westwood,Vivienne Westwood,,
859,,Vivienne Westwood Red Label,Vivienne Westwood,,
860,,Yohji Yamamoto,Yohji Yamamoto,,
861,,Yeohlee,Yeohlee Teng,,
862,,Zac Posen,Zac Posen,,
863,,Zuhair Murad,Murad Zuhair,,
864,,Atelier Versace,Donatella Versace,,
865,,Atsuko Kudo,Atsuko Kudō,,
866,,Back,Ann-Sofie Back,,
867,,Barbara Bui,Barbara Bui,,
868,,Badgley Mischka,James Mischka & Mark Badgley,,
869,,Baldessarini,Werner Baldessarini,,
870,,Barbara Casasola,Barbara Casasola,,
871,,Be Blumarine,Anna Molinari,,
872,,Bebe,Manny Mashouf,,
873,,Behnaz Sarafpour,Behnaz Sarafpour,,
874,,Bella Freud,Bella Freud,,
875,,Benjamin Cho,Benjamin Choyce Sowden,,
876,,Bensoni,Benjamin Channing Clyburn & Sonia Yoon,,
877,,Bernhard Willhelm,Bernhard Willhelm,,
878,,Betsey Johnson,Betsey Johnson,,
879,,Betty Jackson,Betty Jackson,,
880,,Bob Mackie,Bob Mackie,,
881,,Bobbi Brown,Bobbi Brown,,
882,,Bonpoint,Marie-France Cohen,,
883,,Brian Reyes,Brian Reyes,,
884,,Bruce,Nicole Noselli & Daphne Gutierrez,,
885,,Bruno Pieters,Bruno Pieters,,
886,,Bruuns Bazaar,Teis & Bjorn Bruun,,
887,,Buckler,Andrew J Buckler,,
888,,By Malene Birger,Malene Birger,,
889,,Carine Gilson,Carine Gilson,,
890,,Carlos Miele,Carlos Miele,,
891,,Carmen Marc Valvo,Carmen Marc Valvo,,
892,,Carolina Amato,Carolina Amato,,
893,,Casadei,Quinto & Flora Casadei,,
894,,Catherine Malandrino,Catherine Maladrino,,
895,,Catherine Regehr,Catherine Regehr,,
896,,Francesco Scognamiglio,Francesco Scognamiglio,,
897,,French Connection,Stephen Marks,,
898,,Gabriele Colangelo,Gabriele Colangelo,,
899,,Gap,Donald G. Fisher & Doris F. Fisher,,
900,,Gareth Pugh,Gareth Pugh,,
901,,Geoffrey Beene,Geoffrey Beene,,
902,,Gestuz,Sanne Sehested Nielsen & Lene Boesen,,
903,,Gianvito Rossi,Gianvito Rossi,,
904,,Gigi Burris,Gigi Burris,,
905,,Giovanni Raspini,Giovanni Raspini,,
906,,Calvin Klein,Calvin Klein,1968,
907,,Byblos,Sergio Girombelli,1963,
908,,Adidas AG,Adi & Rudolf Dassler,1924,
909,,Adidas AG,Adi & Rudolf Dassler,1924,
910,,Adidas AG,Adi & Rudolf Dassler,1949,
911,,Nike,Bill Bowerman,1964,
912,,Verdura,Fulco di Verdura,1939,
913,,Vionnet,Madeleine Vionnet,1912,
914,,Zambesi,Zambesi,1893,
915,,Zara,Amancio Ortega,1975,
916,,Zimmermann,Nicky Zimmermann,1991,
917,,Kiton,Ciro Paone,1968,
918,,Asprey,Bill Asprey,1781,
919,,Azzaro,Loris Azzaro,1962,
920,,Baccarat,Bishop De Montmorency-Laval Of Metz,1764,
921,,Belstaff,Eli Belovitch & Harry Grosberg,1924,
922,,Berluti,Alessandro Berluti,1895,
923,,Biba,Barbara Hulancki & Stephen Fitz-Simon,1963,
924,,Biba,Barbara Hulancki & Stephen Fitz-Simon,1964,
925,,Bill Blass,Bill Blass,1970,
926,,Blumarine,Anna Molinari,1977,
927,,Boucheron,Frédéric Boucheron,1858,
928,,Brioni,Nazareno Fonticoli,1945,
929,,Brooks Brothers,Henry Sands Brooks,1818,
930,,Bulgari,Sotirios Voulgaris,1884,
931,,Genny,Arnold Girombelli,1962,
932,,Calzedonia,Sandro Veronesi,1986,
933,,Canali,Giovanni & Giacomo Canali,1934,
934,,The Original Car Shoe,Gianni Mostile,1963,
935,,Carven,Carven Tommasso,1945,
936,,Celine,Celine Viplana,1945,
937,,Chantelle,M. Gamichon,1876,
938,,Free People,Urban Outfitters Inc.,1984,
939,,Frye,John A. Frye,1863,
940,,Gant,Bernard Gantmacher,1949,
941,,Garrard,George Wickes,1721,
942,,Garrard,George Wickes,1871,
943,,Georg Jensen,Georg Jensen,1904,
944,co-founder and creative director,Giuliva Heritage,Gerardo Cavaliere & Margherita Cardelli,,
945,"casting director, stylist, digital PR and assistant",Giuliano Calza,Giuliano Calza,,
946,founder,Huishan Zhang Brand,Huishan Zhang,,
947,creative director,Joe Freshgoods Inc.,Joseph Robinson,,
948,creative director,Calvin Klein Collection,Francisco Costa,2003,2016
949,creative director,Dior Homme,Hedi Slimane,2000,2007
950,creative director,Nina Ricci,Guillaume Henry,2015,2018
951,creative director,Carven,Guillaume Henry,2009,2014
952,creative director,Lacoste,Felipe Oliveira Baptista,2010,2018
953,design director,Comme des Garçons,Junya Watanabe,1987,1992
954,design director,Miu Miu,Fabio Zambernardi,2002,
955,design director,Prada,Fabio Zambernardi,2002,
956,creative director,Chloé,Gabriela Hearst,2020,
957,creative director,Marni,Francesco Risso,2016,
958,co-founder,Ester Manas,Ester Manas & Balthazar Delepierre,2019,
959,co-founder,Aje,Edwina Forest & Adrian Norris,2008,
960,founder,Costa Brazil,Francisco Costa,2019,
961,artistic director,Diesel,Glenn Martens,2020,
962,founder,Fernando Jorge,Fernando Jorge,2010,
963,founder,Mansur Gavriel,Floriana Gavriel & Rachel Mansur,2012,
964,creative director,Moncler,Francesco Ragazzi,1952,
965,founder,Wales Bonner,Grace Wales Bonner,1999,
966,"music video director, stage designer",Yeezy,Eli Russell Linnetz,2015,2010
967,creative director,Berluti,Haider Ackermann,2016,2019
968,founder,Boden,Emily Adams Bode,2016,
969,founder,Gabriela Hearst,Gabriela Hearst,2015,
970,founder,Gianvito Rossi,Gianvito Rossi,2006,
971,"design director, men's ready-to-wear",Salvatore Ferragamo Italia S.p.A.,Guillaume Meilland,2016,
972,founder,The Elder Statesman,Greg Chait,2007,
973,co-founder,Aje Athletica,Edwina Forest & Adrian Norris,2021,
974,founder,Ikkari,Edwina Forest & Adrian Norris,2023,
975,founder,ERL,Eli Russell Linnetz,2018,
976,Founder,Elza Wandler Brand,Elza Wandler,2017,
977,Founder and Creative Director,Faraz Manan Brand,Faraz Manan,2003,
978,founder,New Guards Group,Francesco Ragazzi,2015,
979,founder,Chime For Change,Frida Giannini,2013,
980,founder,Candela,Gabriela Hearst,2004,
981,creative and artistic director,Repossi,Gaia Repossi,2007,
982,founder,Attico,Gilda Ambrosio & Giorgia Tordini,2016,
983,creative director,Gcds,Giuliano Calza,2015,
984,co-founder,Three Floor,Han Chong,2011,2013
985,creative director,Hermès,Jean-Paul Gaultier,2003,2010
986,creative director,Hugo Boss,Jason Wu,2013,2018
987,founder,Jean-Paul Gaultier,Jean-Paul Gaultier,1976,
988,founder,Isabel Marant,Isabel Marant,2019,
989,creative director,Delpozo,Josep Font,2012,
990,creative director,Brioni,Justin O'Shea,2016,2016
991,founder,Johanna Ortiz,Johanna Ortiz,2001,
992,founder,Karen Walker,Karen Walker,1989,
993,creative director,Puma,Hussein Chalayan,2008,
994,chief creative officer,Diane von Furstenberg,Jonathan Saunders,2016,2017
995,creative director,Paco Rabanne,Julien Dossena,2014,
996,art director,Kanye West,Heron Preston,2012,
997,founder,Heron Preston Label,Heron Preston,2017,
998,Creative Director and Chief Executive,Visvim,Hiroki Nakamura,2001,
999,founder,Cartesia Ltd.,Hussein Chalayan,1994,
1000,creative director,Tse New York,Hussein Chalayan,1998,
1001,founder,Iris Van Herpen Label,Iris Van Herpen,2007,
1002,creative director,Jil Sander Label,Jil Sander,2012,2015
1003,creative director,Jw Anderson,Jonathan Anderson,2013,
1004,creative director,Pollini,Jonathan Saunders,2008,
1005,founder,Jonathan Saunders Line,Jonathan Saunders,2003,2016
1006,founder,Fat Tiger Workshop,Joseph Robinson,2014,
1007,artistic director,Sonia Rykiel,Julie De Libran,2014,2019
1008,founder,Atto,Julien Dossena,2012,
1009,founder,Undercover,Jun Takahashi,1993,
1010,founder,Sss World Corp,Justin O'Shea,2017,
1011,fashion director,Mytheresa,Justin O'Shea,2009,2016
1012,founder,Jerry Lorenzo,Jerry Lorenzo,2013,
1013,founder,Josep Font,Josep Font,1991,
1014,,Gianfranco Ferré,Christian Dior,,
1015,founder,Acler,Kathryn Forth,,
1016,founder,Agmes,Morgan Solomon,,
1017,founder,Aknvas,Christian Juul Nielsen,,
1018,founder,Albino Teodoro,Albino Teodoro,,
1019,founder,Alejandra Alonso Rojas,Alejandra Alonso Rojas,,
1020,founder,Alexandre Plokhov,Alexandre Plokhov,,
1021,founder,Alix Higgins,Alix Higgins,,
1022,founder,Angel Chen,Dongliang Zhang,,
1023,founder,Angelys Balek,Angelys Balek,,
1024,founder,Anna K,Anna Karenina,,
1025,,Roksanda Ilincic,Roksanda Ilincic,,
1026,,Robert Clergerie,Robert Clergerie,,
1027,,Elsa Schiaparelli,Simone Mirman,,
1028,,"Lucy, Lady Duff-Gordon",Travis Banton,,
1029,,Todd Oldham,Todd Oldham,,
1030,,Trelise Cooper,Trelise Cooper,,
1031,,Zoran Corporation,Tory Burch,,
1032,,Tsumori Chisato,Tsumori Chisato,,
1033,,Tara Jarmon,Tara Jarmon,,
1034,,Joseph Ettedgui,Joseph Ettedgui,,
1035,,Mila Schön,Krizia,,
1036,,Rudi Gernreich,Rudi Gernreich,,
1037,,Hervé Pierre,Pierre Balmain,,
1038,,Tom Ford,Giles Deacon,,
1039,,Alber Elbaz,Guy Laroche,,
1040,,Hedi Slimane,Christian Dior,,
1041,,Theory,Elie Tahari,,
1042,,John Bates,John Bates,,
1043,,Christian Bérard,Pierre Cardin,,
1044,,Paul Costelloe,Pauric Sweeney,,
1045,,Pauric Sweeney,Pauric Sweeney,,
1046,,Emilio Schuberth,Roberto Capucci,,
1047,,Renato Balestra,Renato Balestra,,
1048,,Abigail Keats,Abigail Keats,,
1049,,Admiral Taverns,Admiral T,,
1050,,Cristóbal Balenciaga,Adolfo,,
1051,,Coco Chanel,Adolfo,,
1052,,Agatha Ruiz de la Prada,Agatha Ruiz de la Prada,,
1053,,Aijaz Aslam,Aijaz Aslam,,
1054,,Alain Manoukian,Alain Manoukian,,
1055,,Alexander Amosu,Alexander Amosu,,
1056,,Andre Soriano,Andre Soriano,,
1057,,Ray Aghayan,Bob Mackie,,
1058,,Micol Fontana,Giovanna Fontana,,
1059,,Pierre Cardin,Jean-Paul Gaultier,,
1060,,Albert Nipon,Albert Nipon,,
1061,,Steve Madden,Steve Madden,1990,
1062,founder,Ami Alexandre Mattiussi,Alexandre Mattiussi,2011,
1063,founder,Aalto,Tuomas Merikoski,2015,
1064,founder,Accidental Cutting,Jazmine Smith,1995,
1065,founder,Adam Selman,Adam Selman,2011,
1066,founder,Adanola,Adanola Oluwaseun,2020,
1067,founder,Adeam,Hanako Maeda,2011,
1068,founder,Aesther Ekme,Julie Kervadec,2016,
1069,founder,African Botanics,Craig & Julia Noik,2012,
1070,founder,Adam Lippes,Adam Lippes,2004,
1071,founder,Aerin,Aerin Lauder,2012,
1072,founder,Ahluwalia,Priya Ahluwalia,2019,
1073,founder,Aime Leon Dore,Teddy Santis,2014,
1074,founder,Aisling Camps,Aisling Camps,2017,
1075,founder,Aje,Edwina Forest,2008,
1076,founder,Alan Crocetti,Alan Crocetti,2017,
1077,founder,Albus Lumen,Marina Afonina,2015,
1078,founder,Alena Akhmadullina,Alena Akhmadullina,2004,
1079,founder,Alexander Terekhov,Alexander Terechov,2004,
1080,founder,Alessandro Vigilante,Alessandro Vigilante,2014,
1081,founder,Alessi,Italian Design Factory,1921,
1082,founder,Alexander Arutyunov,Alexander Arutyunov,2008,
1083,founder,Alexander Lewis,Alexander C Lewis,2012,
1084,founder,Alexandre Vauthier,Alexandre Vauthier,2009,
1085,founder,Alexis,Ana & Alexis Barbara,2008,
1086,founder,Alighieri,Rosh Mahtani,2013,
1087,founder,Alison Lou,Alison Chemla,2012,
1088,founder,Almasika,Almasika Kone,2014,
1089,founder,Alonova,Olga Alonova,2003,
1090,founder,Amber Sceats,Amber Sceats,2012,
